Country,percent of GDP
France,31.5
Finland,30.8
Belgium,29.0
Italy,28.9
Denmark,28.7
Austria,27.8
Sweden,27.1
Greece,27.0
Germany,25.3
Norway,25.1
Spain,24.6
Portugal,24.1
Japan,23.1
Slovenia,22.8
Netherlands,22.0
Luxembourg,21.8
United Kingdom,21.5
OECD,21.0
Hungary,20.6
Poland,20.2
Switzerland,19.7
New Zealand,19.5
Czech Republic,19.4
United States,19.3
Brazil,19.3
Australia,19.1
Slovak Republic,18.6
Estonia,17.4
Canada,17.2
Ireland,16.1
Israel,16.1
Costa Rica,15.8
Iceland,15.2
Colombia,14.7
Latvia,14.5
Turkey,13.5
Argentina,12.6
Chile,11.2
Korea,10.4
South Africa,8.7
China,8.0
Mexico,7.5
Indonesia,2.6
India,2.3
