
#https://drees.solidarites-sante.gouv.fr/sites/default/files/2025-07/Fiche%2005%20-%20Le%20niveau%20des%20pensions.pdf
year,avg_pension_brut_monthly_eur,avg_pension_brut_annual_eur,support_ratio_contributors_per_retiree,implied_pension_burden_per_contributor_eur
2004,1127,13524,1.83,7390.16
2005,1163,13956,1.82,7668.13
2006,1202,14424,1.8,8013.33
2007,1240,14880,1.79,8312.85
2008,1282,15384,1.78,8642.7
2009,1304,15648,1.76,8890.91
2010,1329,15948,1.77,9010.17
2011,1377,16524,1.77,9335.59
2012,1400,16800,1.77,9491.53
2013,1424,17088,1.74,9820.69
2014,1439,17268,1.73,9981.5
2015,1449,17388,1.71,10168.42
2016,1468,17616,1.71,10301.75
2017,1490,17880,1.72,10395.35
2018,1494,17928,1.71,10484.21
2019,1504,18048,1.71,10554.39
2020,1532,18384,1.71,10750.88
2021,1543,18516,1.74,10641.38
2022,1626,19512,1.77,11023.73
2023,1666,19992,,
2024,1732,20784,,
2025,1771,21252,,
