DATE,GDP VALUE [millions in Nominal Euro]
1950,15406.3
1951,19403.4
1952,22626.5
1953,23445.1
1954,24920.7
1955,26802.7
1956,29550.0
1957,33391.0
1958,38537.4
1959,42103.7
1960,46633.5
1961,50546.5
1962,56597.0
1963,63393.9
1964,70315.7
1965,75963.2
1966,82269.7
1967,88879.4
1968,96874.0
1969,111382.4
1970,124729.8
1971,139117.2
1972,155137.2
1973,177825.6
1974,207304.4
1975,233582.9
1976,269715.5
1977,303907.2
1978,345186.4
1979,394490.6
1980,447415.7
1981,504709.6
1982,579250.8
1983,642944.7
1984,699501.9
1985,749583.3
1986,807707.1
1987,848787.8
1988,917932.6
1989,988883.5
1990,1043974.8
1991,1082833.0
1992,1121458.1
1993,1134838.6
1994,1172960.4
1995,1213802.4
1996,1246973.7
1997,1289669.2
1998,1346317.6
1999,1395148.0
2000,1473517.3
2001,1530070.9
2002,1578330.4
2003,1622312.8
2004,1696107.7
2005,1762047.7
2006,1846020.8
2007,1937876.3
2008,1989999.7
2009,1935840.2
2010,1996075.1
2011,2062141.4
2012,2088286.7
2013,2120351.9
2014,2153733.1
2015,2201401.6
2016,2231819.2
2017,2291680.5
2018,2355362.8
2019,2432206.8
2020,2318276.2
2021,2508102.3
2022,2653997.2
2023,2826541.5
2024,2919899.9
2025,
